States,Regions,latitude,longitude,Dates,Usage,Situation,Season
Punjab,NR,31.51997398,75.98000281,2019-12-01,137.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-01,151.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-01,189.9,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-01,92.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-01,298.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-01,34.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-01,26.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-01,34.6,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-01,4.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-02,108.5,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-02,117.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-02,205.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-02,64.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-02,281.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-02,33.2,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-02,26.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-02,43.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-02,3.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-03,257.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-03,214.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-03,212.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-03,132.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-03,431.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-03,44.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-03,29.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-03,39.7,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-03,6.1,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-04,93.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-04,95.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-04,212.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-04,60.2,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-04,230.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-04,31.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-04,26.9,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-04,46.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-04,2.9,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-05,245.9,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-05,194.3,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-05,242.2,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-05,116.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-05,422.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-05,42.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-05,30.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-05,42.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-05,6.3,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-06,105.3,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-06,118.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-06,227.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-06,70.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-06,242.7,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-06,37.3,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-06,29.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-06,45.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-06,3.8,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-07,100.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-07,115.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-07,211.8,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-07,62.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-07,268.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-07,34.1,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-07,27.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-07,43.5,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-07,3.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-07,105.3,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-07,114.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-07,214.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-07,63.6,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-07,266.3,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-07,34.1,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-07,27.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-07,43.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-07,3.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-08,160.4,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-08,142.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-08,233.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-08,84.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-08,382.7,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-08,33.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-08,24.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-08,43.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-08,4.2,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-09,166.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-09,175.3,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-09,256.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-09,118.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-09,353.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-09,37.8,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-09,28.3,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-09,39.9,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-09,4.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-10,151.4,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-10,152.1,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-10,212.5,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-10,106.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-10,405.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-10,43.0,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-10,28.0,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-10,46.5,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-10,4.8,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-11,104.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-11,114.0,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-11,196.9,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-11,63.2,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-11,276.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-11,34.0,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-11,28.5,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-11,39.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-11,3.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-12,115.0,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-12,113.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-12,215.1,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-12,72.2,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-12,322.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-12,28.9,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-12,20.7,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-12,38.3,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-12,3.3,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-13,121.2,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-13,120.4,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-13,219.7,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-13,72.0,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-13,339.7,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-13,30.1,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-13,21.9,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-13,43.2,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-13,3.4,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-14,129.8,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-14,128.5,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-14,225.2,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-14,73.3,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-14,350.6,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-14,30.5,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-14,22.4,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-14,43.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-14,3.5,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-15,130.1,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-15,131.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-15,243.3,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-15,68.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-15,290.4,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-15,37.5,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-15,28.0,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-15,50.4,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-15,3.9,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-16,129.2,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-16,136.6,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-16,248.1,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-16,69.5,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-16,295.5,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-16,38.7,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-16,29.2,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-16,53.0,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-16,4.0,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-17,134.2,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-17,137.8,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-17,249.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-17,68.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-17,288.0,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-17,38.6,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-17,28.8,Pre-Covid,WINTER
J&K,NR,33.45,76.24,2019-12-17,51.8,Pre-Covid,WINTER
Chandigarh,NR,30.71999697,76.78000565,2019-12-17,3.9,Pre-Covid,WINTER
Punjab,NR,31.51997398,75.98000281,2019-12-18,131.3,Pre-Covid,WINTER
Haryana,NR,28.45000633,77.01999101,2019-12-18,136.9,Pre-Covid,WINTER
Rajasthan,NR,26.44999921,74.63998124,2019-12-18,249.0,Pre-Covid,WINTER
Delhi,NR,28.6699929,77.23000403,2019-12-18,66.8,Pre-Covid,WINTER
UP,NR,27.59998069,78.05000565,2019-12-18,282.1,Pre-Covid,WINTER
Uttarakhand,NR,30.32040895,78.05000565,2019-12-18,37.6,Pre-Covid,WINTER
HP,NR,31.10002545,77.16659704,2019-12-18,27.1,Pre-Covid,WINTER
